Realization	utility	week	infra.
584	1	1513	5
585	1	1356	5
587	1	1617	5
589	1	1304	11
589	1	1617	5
591	1	2243	5
592	1	1200	11
592	1	1513	5
594	1	1461	5
596	1	1252	11
596	1	1617	5
597	1	2087	5
598	1	2035	5
602	1	1722	5
604	1	1878	5
606	1	2087	5
607	1	1982	5
608	1	1930	5
609	1	1826	5
611	1	2087	5
613	1	1513	11
613	1	1826	5
614	1	2035	5
616	1	2191	5
618	1	2087	5
619	1	1722	5
622	1	2087	5
623	1	1461	11
623	1	1774	5
626	1	1513	11
626	1	1826	5
628	1	1461	11
628	1	1774	5
631	1	1982	5
633	1	1982	5
634	1	1774	5
636	1	1930	5
637	1	2035	5
638	1	1982	5
640	1	1617	5
642	1	1461	5
643	1	1304	11
643	1	1617	5
645	1	2087	5
646	1	2035	5
647	1	1252	11
647	1	1565	5
650	1	1722	5
651	1	2035	5
654	1	1930	5
657	1	1826	5
659	1	1878	5
660	1	1930	5
661	1	1878	5
663	1	1774	5
664	1	2087	5
668	1	2139	5
669	1	1930	5
671	1	2295	5
672	1	1669	5
678	1	1878	5
679	1	1356	11
679	1	1669	5
680	1	2087	5
684	1	1930	5
686	1	1461	5
687	1	2243	5
688	1	1617	5
691	1	1878	5
692	1	1461	11
692	1	1774	5
693	1	1722	5
694	1	1252	11
694	1	1617	5
695	1	1356	5
699	1	1408	5
700	1	2087	5
701	1	1513	5
702	1	1461	5
702	1	2035	11
704	1	1669	5
705	1	2243	5
706	1	1930	5
707	1	1565	5
708	1	1930	5
711	1	1722	5
712	1	1461	11
712	1	1774	5
713	1	1722	5
715	1	1774	5
716	1	1878	5
717	1	1304	5
719	1	1252	5
720	1	1930	5
722	1	1408	5
725	1	1878	5
726	1	1513	5
728	1	991	11
728	1	1304	5
729	1	1826	5
731	1	1930	5
732	1	1669	5
735	1	1356	11
735	1	1669	5
736	1	1513	5
739	1	1461	11
739	1	1774	5
740	1	1252	11
740	1	1565	5
741	1	2087	5
742	1	1408	5
743	1	1461	5
746	1	1878	5
751	1	1722	5
756	1	1513	5
757	1	2035	5
758	1	1304	11
758	1	1617	5
759	1	1252	11
759	1	1565	5
760	1	1148	11
760	1	1513	5
761	1	1617	5
763	1	1617	5
765	1	1252	5
766	1	1617	5
768	1	1878	5
769	1	1669	5
770	1	1200	5
772	1	1513	11
772	1	1826	5
773	1	2035	5
775	1	2087	5
777	1	2087	5
778	1	1722	5
779	1	2295	5
780	1	2295	5
784	1	1461	5
786	1	1408	5
787	1	1617	5
788	1	1304	5
789	1	1408	5
791	1	2035	5
793	1	1095	11
793	1	1408	5
794	1	1565	5
796	1	1461	5
798	1	1200	11
798	1	1513	5
799	1	2087	5
800	1	1982	5
802	1	1565	5
803	1	1826	5
804	1	2087	5
807	1	2035	5
809	1	1513	5
810	1	2087	5
816	1	1669	5
817	1	1774	5
819	1	2191	5
820	1	2087	5
822	1	1356	5
825	1	1669	5
826	1	2295	5
828	1	1408	5
829	1	1930	5
830	1	1826	5
831	1	1461	5
832	1	1826	5
833	1	1669	5
835	1	1513	5
837	1	1982	5
842	1	2295	5
844	1	1722	5
845	1	1200	5
846	1	1930	5
847	1	1617	5
850	1	1148	11
850	1	1565	5
852	1	1878	5
853	1	1304	5
854	1	2295	5
855	1	1252	5
858	1	1565	5
859	1	1252	5
860	1	1513	5
861	1	1878	5
862	1	1617	5
864	1	2087	5
865	1	1878	5
866	1	1982	5
867	1	1513	5
868	1	1669	5
870	1	1774	5
871	1	1774	5
872	1	1669	5
873	1	2191	5
874	1	1565	5
876	1	2139	5
879	1	1461	5
880	1	1617	5
882	1	1617	5
883	1	1930	5
886	1	2139	5
887	1	1774	5
888	1	991	5
889	1	1461	5
891	1	1565	5
892	1	1461	5
893	1	1669	5
894	1	1356	11
894	1	1669	5
895	1	1930	5
896	1	1408	5
897	1	1826	5
898	1	1669	5
900	1	1826	5
901	1	2087	5
907	1	2295	5
909	1	1617	5
910	1	1513	5
912	1	1722	5
913	1	1461	5
919	1	1095	11
919	1	1617	5
920	1	1304	11
920	1	1617	5
921	1	2295	5
923	1	2087	5
926	1	1148	11
926	1	1461	5
928	1	2295	5
932	1	1617	5
933	1	1669	5
935	1	1148	5
937	1	1252	5
940	1	2191	5
942	1	2087	5
946	1	1930	5
948	1	1513	5
949	1	2191	5
950	1	1043	11
950	1	1408	5
951	1	1043	11
951	1	1356	5
952	1	1565	5
953	1	1461	5
954	1	2191	5
955	1	1513	5
956	1	1513	5
959	1	1513	5
961	1	2035	5
962	1	1826	5
963	1	1826	5
966	1	2191	5
967	1	1669	5
968	1	1200	5
968	1	2243	11
970	1	1148	11
970	1	1461	5
971	1	1878	5
975	1	1930	5
977	1	1982	5
980	1	2191	5
981	1	1513	5
982	1	2035	5
983	1	1669	5
985	1	1826	5
986	1	1513	5
986	1	2295	11
987	1	1095	11
987	1	1565	5
988	1	1356	11
988	1	1669	5
990	1	1878	5
991	1	1669	5
993	1	1200	5
995	1	1722	5
998	1	2087	5
0	2	1982	4
2	2	1878	4
3	2	2035	4
4	2	1617	4
7	2	1982	4
8	2	1826	4
9	2	2087	4
10	2	1982	4
11	2	2035	4
14	2	1826	4
15	2	1408	4
16	2	2139	4
18	2	2087	4
20	2	1982	4
21	2	1617	4
24	2	2295	4
29	2	1774	4
30	2	1617	4
35	2	1826	4
36	2	1617	4
41	2	1930	4
42	2	2139	4
43	2	2035	4
45	2	1774	4
47	2	2035	4
48	2	1982	4
51	2	1722	4
52	2	1669	4
56	2	1513	4
58	2	1722	4
60	2	1774	4
61	2	1982	4
63	2	2243	4
65	2	2139	4
66	2	1930	4
67	2	1878	4
71	2	1669	4
72	2	1722	4
74	2	1722	4
76	2	2295	4
77	2	1930	4
82	2	1826	4
84	2	1982	4
87	2	2087	4
91	2	1722	4
92	2	1826	4
93	2	1356	12
93	2	1617	4
94	2	1565	4
95	2	1408	4
99	2	1878	4
100	2	2295	4
104	2	2087	4
108	2	1669	4
109	2	1930	4
110	2	1878	4
113	2	1565	4
115	2	1826	4
119	2	1252	4
119	2	2191	12
121	2	1826	4
122	2	2139	4
125	2	1722	4
125	2	2191	12
131	2	1722	4
136	2	2295	4
137	2	1356	12
137	2	1617	4
140	2	1930	4
141	2	1148	4
141	2	2087	12
142	2	1774	4
143	2	1982	4
144	2	1826	4
148	2	2139	4
149	2	1982	4
152	2	1878	4
153	2	1930	4
158	2	1930	4
160	2	1930	4
165	2	2087	4
166	2	1200	12
166	2	1565	4
167	2	1826	4
169	2	1722	4
175	2	2243	4
176	2	1617	4
178	2	1774	4
182	2	1826	4
187	2	1304	4
187	2	2087	12
188	2	2191	4
192	2	1930	4
194	2	1669	4
195	2	1722	4
201	2	1617	4
201	2	2087	12
202	2	1565	4
204	2	1617	4
205	2	1774	4
206	2	2295	4
207	2	1930	4
210	2	1878	4
211	2	1774	4
216	2	1826	4
219	2	1513	4
219	2	2191	12
220	2	1722	4
222	2	1722	4
226	2	1408	12
226	2	1669	4
227	2	1930	4
228	2	1878	4
229	2	1722	4
230	2	1565	4
231	2	1982	4
232	2	1826	4
233	2	1774	4
234	2	1617	4
238	2	1774	4
240	2	1826	4
242	2	1930	4
245	2	2035	4
246	2	2191	4
247	2	1982	4
255	2	1930	4
256	2	2087	4
257	2	1408	4
264	2	2295	4
265	2	1774	4
266	2	1669	4
268	2	1930	4
279	2	1826	4
281	2	1617	4
282	2	1982	4
283	2	1878	4
285	2	1669	4
287	2	1669	4
288	2	2035	4
290	2	2139	4
291	2	1722	4
295	2	1669	4
298	2	1930	4
299	2	1982	4
301	2	2191	4
304	2	1669	4
312	2	2191	4
316	2	1826	4
319	2	1356	4
321	2	2191	4
323	2	2191	4
326	2	1461	4
329	2	1930	4
333	2	1617	4
335	2	2139	4
339	2	1826	4
340	2	2035	4
344	2	1722	4
348	2	1878	4
351	2	1356	12
351	2	1617	4
354	2	1878	4
355	2	1878	4
360	2	1774	4
361	2	1826	4
362	2	1774	4
363	2	1826	4
364	2	1669	4
366	2	1408	4
367	2	1513	4
368	2	2035	4
372	2	1774	4
374	2	2139	4
375	2	1982	4
385	2	1982	4
389	2	1930	4
393	2	1878	4
394	2	1513	4
394	2	2295	12
396	2	2191	4
398	2	2087	4
403	2	1982	4
408	2	2243	4
409	2	1461	4
411	2	2243	4
412	2	2243	4
413	2	1722	4
415	2	1878	4
416	2	1617	4
417	2	1669	4
417	2	2191	12
418	2	1565	4
419	2	2087	4
421	2	1513	4
421	2	2295	12
422	2	1878	4
428	2	1617	4
429	2	2191	4
430	2	1826	4
431	2	1930	4
434	2	1878	4
435	2	991	12
435	2	1252	4
446	2	1461	4
448	2	1930	4
450	2	1356	12
450	2	1617	4
451	2	1617	4
453	2	2139	4
454	2	2087	4
455	2	1565	4
456	2	1617	4
457	2	1513	4
459	2	2035	4
461	2	1930	4
465	2	1565	4
465	2	2295	12
467	2	1095	4
467	2	2191	12
468	2	1669	4
470	2	1930	4
472	2	1669	4
473	2	2243	4
475	2	2139	4
483	2	2035	4
484	2	1617	4
486	2	1461	4
487	2	2295	4
490	2	1930	4
491	2	2139	4
500	2	1878	4
502	2	2295	4
504	2	2243	4
508	2	1513	4
510	2	2035	4
513	2	1930	4
515	2	2243	4
519	2	1774	4
520	2	1356	4
520	2	2243	12
524	2	2243	4
525	2	1982	4
528	2	1461	4
528	2	2243	12
529	2	1722	4
530	2	1982	4
532	2	1722	4
533	2	1722	4
535	2	1617	4
540	2	1982	4
543	2	1774	4
544	2	2139	4
545	2	2191	4
547	2	1722	4
555	2	1722	4
562	2	1878	4
563	2	1408	4
564	2	1513	4
564	2	2295	12
570	2	2295	4
571	2	2295	4
572	2	1982	4
573	2	2243	4
574	2	1565	4
578	2	1982	4
579	2	1982	4
580	2	2035	4
584	2	1617	4
585	2	1669	4
587	2	1774	4
589	2	1513	4
589	2	2295	12
592	2	1669	4
594	2	1774	4
596	2	1565	4
598	2	2295	4
602	2	1982	4
604	2	1982	4
607	2	2139	4
608	2	2087	4
609	2	2087	4
613	2	1930	4
619	2	1878	4
623	2	2035	4
626	2	2035	4
628	2	1722	4
631	2	2243	4
634	2	1722	4
640	2	1878	4
642	2	1722	4
643	2	1304	4
646	2	2295	4
647	2	1513	4
647	2	2295	12
650	2	1982	4
651	2	2295	4
654	2	1878	4
657	2	2035	4
660	2	2035	4
661	2	2191	4
663	2	2087	4
672	2	1878	4
679	2	1617	4
684	2	2243	4
686	2	1722	4
686	2	2243	12
688	2	2087	4
691	2	2035	4
692	2	1774	4
694	2	1617	4
695	2	1722	4
699	2	1722	4
701	2	1722	4
702	2	1565	4
702	2	1930	12
704	2	2191	4
707	2	1982	4
708	2	2087	4
711	2	2295	4
712	2	2035	4
713	2	2035	4
715	2	2087	4
716	2	2139	4
717	2	1722	4
719	2	1669	4
722	2	1513	4
725	2	2139	4
726	2	1722	4
728	2	1252	12
728	2	1513	4
729	2	2087	4
731	2	2191	4
732	2	1826	4
735	2	2035	4
736	2	1774	4
739	2	1982	4
740	2	1878	4
742	2	1669	4
743	2	1930	4
746	2	1826	4
751	2	1930	4
756	2	2295	4
758	2	1722	4
759	2	1408	4
759	2	2295	12
760	2	1408	4
761	2	1930	4
763	2	1878	4
765	2	1565	12
765	2	1826	4
766	2	1826	4
768	2	2295	4
769	2	2243	4
770	2	1513	4
772	2	2139	4
778	2	2087	4
