Realization	utility	week	infra.
784	0	1200	4
784	0	1461	8
784	0	1826	10
784	0	2139	9
786	0	2087	4
787	0	1565	4
787	0	1826	8
788	0	1252	8
788	0	1565	4
788	0	1878	10
788	0	2191	9
789	0	1148	4
789	0	1408	8
789	0	1826	10
789	0	2139	9
791	0	1565	4
791	0	1930	8
793	0	1304	4
793	0	1930	8
794	0	1826	4
796	0	1669	4
796	0	1930	8
798	0	1565	4
798	0	1826	8
799	0	2295	4
800	0	2243	4
802	0	1513	4
802	0	1774	8
803	0	2035	4
804	0	1617	4
804	0	1878	8
807	0	1826	4
807	0	2087	8
809	0	1774	4
810	0	2295	4
816	0	1878	4
816	0	2139	8
817	0	2087	4
820	0	2295	4
822	0	1356	4
822	0	1617	8
824	0	1878	4
824	0	2139	8
825	0	1878	4
825	0	2139	8
828	0	1565	4
828	0	1826	8
830	0	2087	4
831	0	1408	8
831	0	1722	4
832	0	2139	4
833	0	1878	4
835	0	1617	4
835	0	1878	8
837	0	2243	4
844	0	1669	4
844	0	1930	8
845	0	1200	8
845	0	1408	4
845	0	1982	10
850	0	1461	4
850	0	1722	8
853	0	1513	4
853	0	1774	8
853	0	2087	10
855	0	1304	4
855	0	1565	8
855	0	1878	10
855	0	2191	9
858	0	1878	4
859	0	1669	4
860	0	1356	4
860	0	1617	8
861	0	1408	4
861	0	1669	8
862	0	1826	4
864	0	1461	4
864	0	1722	8
866	0	1513	4
866	0	1774	8
867	0	1461	4
867	0	1722	8
867	0	2035	10
868	0	1878	4
870	0	1513	4
870	0	1826	8
871	0	2035	4
872	0	1878	4
872	0	2139	8
874	0	1565	4
874	0	1826	8
879	0	1304	8
879	0	1669	4
879	0	2139	10
880	0	1617	4
880	0	1878	8
882	0	939	8
882	0	1774	4
882	0	2087	10
883	0	2191	4
887	0	2243	4
888	0	1565	4
888	0	1826	8
889	0	1043	8
889	0	1617	4
889	0	1930	10
889	0	2243	9
891	0	1513	4
891	0	1774	8
891	0	2087	10
892	0	1826	4
892	0	2087	8
893	0	1930	4
894	0	1878	4
896	0	1878	4
897	0	1356	4
897	0	1617	8
898	0	1356	4
898	0	1617	8
898	0	1930	10
898	0	2243	9
901	0	1408	4
901	0	1669	8
909	0	1826	4
910	0	1408	4
910	0	1669	8
912	0	1982	4
912	0	2243	8
913	0	1669	4
913	0	2191	8
919	0	782	8
919	0	1252	10
919	0	1513	4
919	0	1826	9
920	0	1461	4
920	0	1722	8
923	0	2243	4
926	0	1252	8
926	0	1565	4
932	0	1826	4
933	0	1878	4
933	0	2191	8
935	0	1408	4
935	0	1669	8
937	0	1461	4
940	0	2191	4
942	0	1461	8
942	0	2295	4
946	0	2139	4
948	0	1878	4
948	0	2191	8
950	0	1043	8
950	0	1461	4
950	0	1774	10
950	0	2087	9
951	0	991	8
951	0	1252	4
951	0	1565	10
951	0	1878	9
952	0	1722	4
952	0	2087	8
953	0	1982	4
954	0	2139	4
955	0	1878	4
956	0	1722	4
956	0	1982	8
959	0	1722	4
960	0	2295	4
962	0	1461	4
962	0	1722	8
963	0	1774	4
963	0	2035	8
967	0	2035	4
968	0	1148	8
968	0	1356	4
968	0	1669	10
968	0	1982	9
970	0	1252	4
970	0	1513	8
970	0	1826	10
970	0	2139	9
974	0	1408	4
974	0	1669	8
975	0	1669	4
975	0	1930	8
977	0	2243	4
980	0	1826	4
980	0	2139	8
981	0	1565	4
981	0	1826	8
981	0	2139	10
982	0	2243	4
983	0	1930	4
985	0	1982	4
986	0	1356	4
986	0	1617	8
986	0	1930	10
986	0	2243	9
987	0	1148	8
987	0	1722	4
987	0	2087	10
988	0	1617	4
988	0	1878	8
988	0	2243	10
990	0	2139	4
991	0	1565	4
991	0	1826	8
991	0	2139	10
993	0	1200	8
993	0	1461	4
993	0	1878	10
993	0	2191	9
995	0	1930	4
995	0	2191	8
0	1	1669	5
1	1	1930	5
2	1	1565	5
3	1	1774	5
4	1	1148	11
4	1	1408	5
7	1	1669	5
8	1	1669	5
9	1	1826	5
10	1	1669	5
11	1	1722	5
12	1	1826	5
13	1	1826	5
14	1	1617	5
15	1	1252	5
16	1	1513	5
17	1	2191	5
18	1	1513	5
20	1	1565	5
21	1	1252	11
21	1	1513	5
24	1	2295	5
28	1	2243	5
29	1	1461	5
30	1	1513	11
30	1	1774	5
33	1	2243	5
34	1	1617	5
35	1	1252	11
35	1	1513	5
36	1	1148	5
38	1	2139	5
41	1	1617	5
42	1	2087	5
43	1	1669	5
45	1	1461	5
46	1	1982	5
47	1	1617	5
48	1	1461	5
50	1	2295	5
51	1	1617	5
52	1	1356	5
55	1	2243	5
56	1	1043	11
56	1	1304	5
58	1	1461	5
59	1	2087	5
60	1	1617	5
61	1	1669	5
63	1	1930	5
64	1	1982	5
65	1	1565	5
66	1	1304	11
66	1	1565	5
67	1	1565	5
71	1	991	11
71	1	1252	5
72	1	1200	5
74	1	1304	5
75	1	2191	5
76	1	1982	5
77	1	1617	5
82	1	1513	5
84	1	1148	11
84	1	1408	5
87	1	1617	5
88	1	2295	5
89	1	1930	5
90	1	2035	5
91	1	1408	5
92	1	1356	11
92	1	1617	5
93	1	678	11
93	1	991	5
94	1	1252	5
95	1	1043	11
95	1	1304	5
99	1	1513	5
100	1	1982	5
104	1	1774	5
105	1	2035	5
108	1	1304	11
108	1	1565	5
109	1	1565	5
110	1	1513	5
111	1	2243	5
113	1	1095	11
113	1	1356	5
115	1	1252	11
115	1	1513	5
116	1	1930	5
119	1	834	11
119	1	1095	5
120	1	1982	5
121	1	1513	5
122	1	1722	5
125	1	1408	5
126	1	2243	5
128	1	2295	5
131	1	1461	11
131	1	1722	5
136	1	1982	5
137	1	1252	11
137	1	1513	5
138	1	2243	5
139	1	1878	5
140	1	1617	5
141	1	1408	11
141	1	1669	5
142	1	1408	5
143	1	1669	5
144	1	1669	5
148	1	1930	5
149	1	1669	5
150	1	2191	5
151	1	2139	5
152	1	1304	5
153	1	1722	5
158	1	1617	5
160	1	1617	5
162	1	2243	5
165	1	1774	5
166	1	1095	11
166	1	1461	5
167	1	1513	5
169	1	1461	5
171	1	2087	5
175	1	1826	5
176	1	1513	5
178	1	1356	11
178	1	1617	5
179	1	1669	5
182	1	1513	5
183	1	2243	5
184	1	1930	5
185	1	2035	5
187	1	1200	11
187	1	1461	5
188	1	1722	5
190	1	2035	5
192	1	1669	5
194	1	1617	5
195	1	1408	5
199	1	2035	5
201	1	1461	5
201	1	2035	11
202	1	1200	11
202	1	1461	5
204	1	1617	5
205	1	1513	5
206	1	1982	5
207	1	1461	5
210	1	1565	5
211	1	1513	5
213	1	1982	5
216	1	1617	5
219	1	1408	5
220	1	1461	5
221	1	2087	5
222	1	1408	11
222	1	1669	5
226	1	1043	5
227	1	1513	5
228	1	1565	5
229	1	1565	5
230	1	1148	11
230	1	1408	5
231	1	1669	5
232	1	1252	11
232	1	1513	5
233	1	1252	11
233	1	1513	5
234	1	1043	11
234	1	1304	5
238	1	1408	5
239	1	1930	5
240	1	1252	11
240	1	1513	5
242	1	1617	5
245	1	1722	5
246	1	1878	5
247	1	1669	5
251	1	2035	5
255	1	1617	5
256	1	1722	5
257	1	1043	11
257	1	1304	5
261	1	2243	5
262	1	2087	5
264	1	1982	5
265	1	1461	5
266	1	1356	5
267	1	2243	5
268	1	1408	5
270	1	1826	5
272	1	1617	5
274	1	1826	5
275	1	1930	5
279	1	1513	5
281	1	1304	5
282	1	1408	11
282	1	1669	5
283	1	1669	5
285	1	1356	5
287	1	991	11
287	1	1513	5
288	1	1878	5
290	1	1722	5
291	1	1200	11
291	1	1461	5
294	1	2035	5
295	1	1461	5
298	1	1461	5
299	1	1669	5
301	1	1878	5
302	1	2087	5
304	1	1304	5
307	1	2035	5
309	1	2191	5
312	1	1826	5
316	1	1513	5
317	1	2295	5
318	1	2139	5
319	1	1252	11
319	1	1565	5
321	1	1669	5
323	1	1878	5
324	1	1826	5
326	1	1252	11
326	1	1513	5
329	1	1617	5
330	1	2087	5
333	1	1565	5
334	1	2087	5
335	1	1513	5
336	1	2243	5
338	1	2191	5
339	1	1513	5
340	1	1722	5
343	1	1826	5
344	1	1356	5
345	1	1669	5
346	1	2035	5
348	1	1513	5
351	1	887	11
351	1	1461	5
353	1	2035	5
354	1	1565	5
355	1	1722	5
357	1	1930	5
358	1	2087	5
360	1	1356	5
361	1	1461	5
362	1	1826	5
363	1	1461	5
364	1	1356	5
365	1	2191	5
366	1	1043	11
366	1	1304	5
367	1	1200	5
368	1	1356	11
368	1	1617	5
369	1	2243	5
371	1	2035	5
372	1	1304	5
374	1	2035	5
375	1	1669	5
385	1	1617	5
388	1	2139	5
389	1	1356	11
389	1	1617	5
390	1	2243	5
393	1	1461	11
393	1	1722	5
394	1	1200	5
396	1	1878	5
397	1	2191	5
398	1	1722	5
399	1	2139	5
403	1	1408	11
403	1	1669	5
407	1	1826	5
408	1	2139	5
409	1	887	11
409	1	1565	5
410	1	2035	5
411	1	1774	5
412	1	1930	5
413	1	1408	5
415	1	1565	5
416	1	1304	5
417	1	991	11
417	1	1461	5
418	1	1304	11
418	1	1565	5
419	1	1774	5
421	1	1513	5
422	1	1513	5
425	1	2243	5
428	1	1304	5
429	1	1774	5
430	1	1513	5
431	1	1565	5
432	1	2191	5
433	1	1826	5
434	1	1356	11
434	1	1617	5
435	1	834	11
