Realization	utility	week	infra.
338	0	1930	8
339	0	1513	4
339	0	1774	8
339	0	2087	10
344	0	1408	4
344	0	1669	8
344	0	1982	10
344	0	2295	9
345	0	1304	4
345	0	1565	8
348	0	939	8
348	0	1513	4
348	0	1826	10
348	0	2139	9
351	0	991	8
351	0	1461	4
351	0	1774	10
351	0	2087	9
354	0	1408	4
354	0	1669	8
355	0	2087	4
357	0	1513	4
357	0	1774	8
358	0	1461	4
358	0	1722	8
360	0	1408	4
360	0	1669	8
360	0	1982	10
360	0	2295	9
361	0	887	8
361	0	1617	4
361	0	1930	10
361	0	2243	9
363	0	1304	8
363	0	2295	4
364	0	1408	4
364	0	1669	8
364	0	1982	10
364	0	2295	9
365	0	1722	4
365	0	1982	8
366	0	991	8
366	0	2035	4
368	0	782	8
368	0	1669	4
368	0	1982	10
368	0	2295	9
369	0	2035	4
369	0	2295	8
370	0	2139	4
372	0	1200	8
372	0	1774	4
372	0	2139	10
374	0	1774	4
374	0	2035	8
375	0	782	8
375	0	1617	4
375	0	1930	10
375	0	2243	9
380	0	1408	4
380	0	1669	8
385	0	2139	4
389	0	1408	4
389	0	1669	8
393	0	1565	4
393	0	1826	8
393	0	2139	10
394	0	834	8
394	0	1148	10
394	0	1461	4
394	0	1774	9
395	0	1513	8
396	0	1461	8
398	0	1617	4
398	0	1878	8
399	0	2087	4
403	0	991	8
403	0	1408	10
403	0	1722	4
403	0	2035	9
407	0	2295	4
409	0	782	8
409	0	1252	4
409	0	1565	10
409	0	1878	9
410	0	1826	4
410	0	2087	8
412	0	1461	4
412	0	1722	8
413	0	1513	4
413	0	1774	8
414	0	2087	4
415	0	1252	4
415	0	1513	8
416	0	1408	4
416	0	1669	8
416	0	1982	10
417	0	782	8
417	0	1408	4
417	0	1722	10
417	0	2035	9
418	0	1252	4
418	0	1513	8
418	0	1826	10
418	0	2139	9
419	0	1826	4
419	0	2087	8
421	0	1513	4
421	0	1774	8
421	0	2191	10
422	0	1043	8
422	0	1513	4
422	0	1826	10
422	0	2139	9
423	0	1304	8
425	0	1930	4
425	0	2191	8
428	0	834	8
428	0	1408	4
428	0	1722	10
428	0	2035	9
430	0	1565	4
430	0	1826	8
430	0	2139	10
431	0	1043	8
431	0	1669	4
431	0	1982	10
432	0	2087	4
433	0	1669	4
433	0	1930	8
434	0	1982	4
434	0	2243	8
435	0	887	8
435	0	1304	4
435	0	1617	10
435	0	1930	9
441	0	1513	4
441	0	1826	8
443	0	1878	4
445	0	2035	4
445	0	2295	8
446	0	1356	4
446	0	1617	8
446	0	2295	10
448	0	1356	8
448	0	2087	4
450	0	939	8
450	0	1617	4
450	0	1930	10
450	0	2243	9
451	0	1565	4
451	0	1826	8
451	0	2139	10
452	0	1252	4
452	0	1513	8
453	0	887	8
453	0	1356	4
453	0	1669	10
453	0	1982	9
454	0	1617	4
454	0	1878	8
454	0	2295	10
455	0	1304	8
455	0	1669	4
455	0	1982	10
455	0	2295	9
456	0	1461	4
456	0	1722	8
457	0	1095	4
457	0	1356	8
457	0	1669	10
457	0	1982	9
459	0	1513	4
459	0	1774	8
459	0	2087	10
461	0	939	8
461	0	1617	4
461	0	1930	10
461	0	2243	9
465	0	887	8
465	0	1461	4
465	0	1774	10
465	0	2087	9
466	0	1408	4
466	0	1669	8
467	0	521	8
467	0	887	10
467	0	1200	4
467	0	1513	9
468	0	991	8
468	0	1722	4
468	0	2035	10
470	0	1356	4
470	0	1617	8
470	0	1930	10
470	0	2243	9
472	0	1304	4
472	0	1565	8
472	0	1878	10
472	0	2191	9
473	0	1617	4
473	0	1878	8
474	0	2191	4
475	0	1565	4
475	0	1826	8
476	0	1356	4
476	0	1617	8
483	0	1878	4
483	0	2139	8
484	0	834	8
484	0	1617	4
484	0	1930	10
484	0	2243	9
485	0	1930	4
485	0	2243	8
486	0	1356	4
486	0	1617	8
486	0	2035	10
487	0	1617	4
487	0	1878	8
487	0	2243	10
489	0	1669	4
489	0	1930	8
490	0	1722	4
490	0	1982	8
494	0	2139	4
500	0	1774	4
500	0	2035	8
504	0	1826	4
504	0	2087	8
508	0	939	8
508	0	1669	4
508	0	2035	10
510	0	1043	8
510	0	1826	4
510	0	2139	10
513	0	1565	4
513	0	1826	8
513	0	2139	10
514	0	2139	4
515	0	2139	4
519	0	1826	4
519	0	2087	8
520	0	1148	8
520	0	1461	4
520	0	1774	10
520	0	2087	9
524	0	1722	4
524	0	1982	8
525	0	2191	4
528	0	1513	4
528	0	1774	8
528	0	2295	10
529	0	1356	8
529	0	1669	4
529	0	1982	10
529	0	2295	9
530	0	1252	4
530	0	1513	8
532	0	2139	4
533	0	1304	4
533	0	1565	8
533	0	1878	10
533	0	2295	9
535	0	1356	8
535	0	1930	4
535	0	2243	10
536	0	1826	4
536	0	2139	8
540	0	1095	4
540	0	1356	8
540	0	2191	10
543	0	1461	4
543	0	1722	8
544	0	1513	4
544	0	1774	8
545	0	1200	4
545	0	1461	8
547	0	1565	4
547	0	1826	8
547	0	2139	10
553	0	1878	4
553	0	2139	8
555	0	1408	4
555	0	1669	8
555	0	1982	10
555	0	2295	9
556	0	1722	4
556	0	1982	8
557	0	2243	4
562	0	2087	4
563	0	1200	8
563	0	1513	4
563	0	1826	10
563	0	2139	9
564	0	939	8
564	0	1774	4
564	0	2087	10
567	0	2035	4
570	0	1930	4
570	0	2191	8
572	0	1095	8
572	0	1878	4
572	0	2191	10
573	0	1461	4
573	0	1722	8
573	0	2191	10
574	0	991	8
574	0	1461	4
574	0	1774	10
574	0	2087	9
578	0	1095	8
578	0	2191	4
579	0	2139	4
580	0	1200	8
580	0	1669	4
580	0	2035	10
584	0	1200	8
