idx,REL,RF,INF NPC,PFC,WCC,Name
94,0.983,0.03522,49.10598,0.09516,0.0301,Brushed
95,0.983,0.06816,37.5325,0.0794,0.06887,Brushed
96,0.985,0.05424,49.10598,0.12412,0.03708,Brushed
97,0.988,0.01889,64.89724,0.12242,0.02146,Brushed
99,0.983,0.02933,52.26376,0.12352,0.00655,Brushed
100,0.986,0.10478,39.44744,0.0788,0.09242,Brushed
101,0.987,0.018,64.17285,0.16297,0,Brushed
103,0.991,0.13178,63.75709,0.09968,0.0971,Brushed
104,0.985,0.0706,49.8004,0.31276,0.00977,Brushed
105,0.99,0.24964,39.85339,0.23757,0.07075,Brushed
106,0.987,0.02216,83.47175,0.06865,0.05938,Brushed
107,0.983,0.24173,0.09288,0.29923,0.05325,Brushed
108,0.99,0.15327,54.1761,0.24408,0.00536,Brushed
109,0.982,0.08511,39.85339,0.13814,0.01478,Brushed
110,0.991,0.24889,49.10598,0.27729,0.05012,Brushed
111,0.981,0.1068,3.29434,0.48622,0.00783,Brushed
112,0.981,0.16949,0.16064,0.35913,0.00389,Brushed
114,0.981,0.10662,0.16064,0.32751,0.07579,Brushed
115,0.985,0.12236,37.36908,0.1033,0.07337,Brushed
116,0.981,0.15264,0.44798,0.32238,0.01471,Brushed
117,0.983,0.03644,51.70577,0.04933,0.08269,Brushed
118,0.981,0.10653,0.0547,0.27371,0.09968,Brushed
119,0.981,0.12144,2.04344,0.29004,0.08662,Brushed
120,0.983,0.17833,0.16064,0.46416,0.02498,Brushed
121,0.986,0.25933,29.8137,0.31645,0.02745,Brushed
122,0.985,0.2498,19.35588,0.32648,0.04575,Brushed
123,0.983,0.15038,0.16064,0.4624,0.04839,Brushed
124,0.981,0.11942,19.35588,0.1938,0.06593,Brushed
125,0.983,0.16211,19.35588,0.21818,0.05987,Brushed
126,0.985,0.26989,19.35588,0.31688,0.04122,Brushed
127,0.983,0.24178,0,0.231,0.06794,Brushed
128,0.983,0.27453,9.18792,0.2563,0.0478,Brushed
129,0.987,0.25933,29.8137,0.31324,0.03638,Brushed
130,0.981,0.11942,19.35588,0.34747,0.00779,Brushed
131,0.985,0.234,19.35588,0.24803,0.05669,Brushed
132,0.985,0.26549,24.30135,0.38055,0.01332,Brushed
133,0.987,0.25069,33.97725,0.33562,0.02316,Brushed
134,0.985,0.27222,15.49154,0.34927,0.03939,Brushed
135,0.983,0.16229,19.35588,0.25894,0.0355,Brushed
136,0.985,0.24084,0.16064,0.50887,0.07432,Brushed
137,0.984,0.19556,19.35588,0.40444,0.01437,Brushed
138,0.981,0.10782,0.44798,0.364,0.01436,Brushed
139,0.983,0.2064,0.08739,0.4193,0.03949,Brushed
140,0.985,0.27222,15.49154,0.42077,0.01409,Brushed
141,0.985,0.26989,19.35588,0.3628,0.02611,Brushed
143,0.983,0.2418,0.02487,0.33212,0.02787,Brushed
144,0.989,0.03931,87.71493,0.23068,0.00609,Brushed
145,0.987,0.01949,86.82605,0.09448,0.03929,Brushed
146,0.981,0.03338,47.35246,0.0476,0.07652,Brushed
147,0.981,0.073,29.65221,0.53982,0.02674,Brushed
148,0.989,0.03758,84.95015,0.09054,0.04086,Brushed
149,0.985,0.27618,0.21639,0.22304,0.07896,Brushed
150,0.983,0.19033,0.17073,0.54396,0,Brushed
151,0.983,0.01622,66.82052,0.04999,0.07839,Brushed
152,0.985,0.27609,0.72175,0.26144,0.05248,Brushed
153,0.989,0.03407,92.09417,0.09549,0.0381,Brushed
154,0.989,0.0198,91.9914,0.08602,0.04233,Brushed
155,0.985,0.24082,0.17073,0.53889,0.05411,Brushed
156,0.981,0.14073,0.17073,0.1584,0.09264,Brushed
