Realization	utility	week	infra.
520	0	1408	4
520	0	1669	9
520	0	1930	10
524	0	1513	4
524	0	1826	8
525	0	2139	4
528	0	1513	4
528	0	1826	8
528	0	2243	9
529	0	1408	8
529	0	1774	4
529	0	2035	9
529	0	2295	10
530	0	1252	4
530	0	1565	8
532	0	1930	4
532	0	2295	8
533	0	1304	4
533	0	1617	8
533	0	1982	9
533	0	2243	10
535	0	1304	8
535	0	1669	4
535	0	1930	9
535	0	2191	10
536	0	1774	4
536	0	2087	8
540	0	1095	4
540	0	1408	8
540	0	2139	9
543	0	1356	4
543	0	1669	8
544	0	1461	4
544	0	1774	8
545	0	1200	4
545	0	1513	8
545	0	2087	9
547	0	1565	4
547	0	1878	8
547	0	2139	9
553	0	1565	4
553	0	1878	8
555	0	1408	4
555	0	1722	8
555	0	1982	9
555	0	2243	10
556	0	1565	4
556	0	1878	8
557	0	2243	4
562	0	1930	4
562	0	2295	8
563	0	1252	8
563	0	1461	4
563	0	1722	9
563	0	1982	10
564	0	991	8
564	0	1565	4
564	0	1826	9
564	0	2087	10
567	0	1826	4
567	0	2191	8
570	0	1930	4
570	0	2243	8
572	0	1148	8
572	0	1878	4
572	0	2139	9
573	0	1408	4
573	0	1722	8
573	0	2139	9
574	0	1043	8
574	0	1304	9
574	0	1617	4
574	0	1878	10
578	0	1148	8
578	0	1982	4
578	0	2243	9
579	0	2139	4
580	0	1252	8
580	0	1669	4
580	0	1930	9
580	0	2191	10
582	0	2191	4
584	0	1252	8
584	0	1669	4
584	0	2243	9
585	0	1043	8
585	0	1356	9
585	0	1669	4
585	0	1930	10
587	0	1304	8
587	0	1826	4
587	0	2139	9
588	0	2243	4
589	0	1200	8
589	0	1565	4
589	0	1826	9
589	0	2087	10
592	0	991	8
592	0	1408	4
592	0	1669	9
592	0	1930	10
594	0	1408	4
594	0	1722	8
595	0	1356	4
595	0	1669	8
596	0	1043	8
596	0	1408	9
596	0	1617	4
596	0	1878	10
602	0	1356	4
602	0	1669	8
604	0	1930	4
604	0	2243	8
606	0	1669	4
606	0	1982	8
607	0	2191	4
608	0	1826	4
608	0	2139	8
609	0	1669	4
609	0	1982	8
609	0	2243	9
611	0	2035	4
612	0	1930	4
612	0	2295	8
613	0	939	8
613	0	1513	4
613	0	1774	9
613	0	2035	10
614	0	2191	4
616	0	2191	4
618	0	1617	4
618	0	1930	8
619	0	1826	4
619	0	2139	8
623	0	1461	4
623	0	1774	8
623	0	2035	9
623	0	2295	10
626	0	1513	4
626	0	1826	8
628	0	1304	4
628	0	1617	8
628	0	1930	9
628	0	2191	10
630	0	1565	4
630	0	1878	8
631	0	1722	4
631	0	2035	8
633	0	1356	8
633	0	2087	4
634	0	939	8
634	0	1408	4
634	0	1669	9
634	0	1930	10
636	0	1722	4
636	0	2035	8
637	0	2035	4
638	0	1982	4
640	0	1461	4
640	0	1774	8
640	0	2035	9
640	0	2295	10
642	0	1095	8
642	0	1565	4
642	0	1826	9
642	0	2087	10
643	0	1148	4
643	0	1461	8
643	0	1722	9
643	0	1982	10
644	0	2035	4
646	0	2295	4
647	0	1200	4
647	0	1513	8
647	0	1774	9
647	0	2035	10
650	0	1565	4
650	0	1878	8
650	0	2139	9
651	0	2087	4
652	0	1982	4
652	0	2295	8
654	0	1722	4
654	0	2035	8
657	0	1930	4
657	0	2243	8
660	0	2087	4
661	0	2295	4
663	0	2191	4
664	0	2139	4
